"source";"target";"year_of_publication";"Erscheinungsort"
"02-0741";"02-0759";1562;"Magdeburg"
"02-0876";"02-0766";1552;"Magdeburg"
"02-0654";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1554;"Magdeburg"
"02-0646";"02-0775";1554;"Magdeburg"
"02-0716";"02-0775";1552;"Magdeburg"
"02-0722";"02-0775";1552;"Magdeburg"
"02-0716";"02-0775";1552;"Magdeburg"
"02-0654";"02-0775";1552;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1553;"Magdeburg"
"02-0879";"02-0775";1555;"Magdeburg"
"02-0654";"02-0775";1551;"Magdeburg"
"02-1029";"02-0775";1553;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0716";"02-0775";1551;"Magdeburg"
"02-0879";"02-0775";1558;"Magdeburg"
"02-0879";"02-0775";1558;"Magdeburg"
"02-0716";"02-0775";1556;"Magdeburg"
"02-0722";"02-0775";1553;"Magdeburg"
"02-0716";"02-0775";1553;"Magdeburg"
"02-0654";"02-0775";1553;"Magdeburg"
"02-0654";"02-0775";1559;"Magdeburg"
"02-0782";"02-0782";1548;"Magdeburg"
"02-0802";"02-0782";1548;"Magdeburg"
"02-0716";"02-0782";1551;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0782";"02-0782";1550;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0876";"02-0782";1549;"Magdeburg"
"02-0741";"02-0782";1560;"Magdeburg"
"02-0716";"02-0782";1549;"Magdeburg"
"02-0789";"02-0782";1560;"Magdeburg"
"02-1029";"02-0782";1560;"Magdeburg"
"02-0716";"02-0784";1556;"Magdeburg"
"02-1029";"02-0800";1553;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0721";"02-0800";1552;"Magdeburg"
"02-0802";"02-0800";1552;"Magdeburg"
"02-0722";"02-0800";1552;"Magdeburg"
"02-0873";"02-0800";1552;"Magdeburg"
"02-0722";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0721";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-1029";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0654";"02-0800";1552;"Magdeburg"
"02-0827";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0716";"02-0800";1552;"Magdeburg"
"02-0879";"02-0800";1558;"Magdeburg"
"02-0716";"02-0800";1555;"Magdeburg"
"02-0936";"02-0800";1555;"Magdeburg"
"02-0789";"02-0800";1555;"Magdeburg"
"02-0789";"02-0800";1555;"Magdeburg"
"02-0673";"02-0800";1553;"Magdeburg"
"02-0716";"02-0800";1553;"Magdeburg"
"02-0654";"02-0810";1559;"Magdeburg"
"02-0722";"02-0810";1550;"Magdeburg"
"02-0654";"02-0810";1550;"Magdeburg"
"02-0716";"02-0810";1550;"Magdeburg"
"02-0716";"02-0810";1551;"Magdeburg"
"02-0654";"02-0810";1552;"Magdeburg"
"02-0876";"02-0810";1551;"Magdeburg"
"02-0716";"02-0810";1551;"Magdeburg"
"02-0741";"02-0830";1564;"Magdeburg"
"02-0716";"02-0838";1553;"Magdeburg"
"02-0879";"02-0838";1558;"Magdeburg"
"02-0716";"02-0838";1554;"Magdeburg"
"02-0716";"02-0838";1553;"Magdeburg"
"02-0876";"02-0848";1553;"Magdeburg"
"02-0665";"02-0856";1551;"Magdeburg"
"02-0789";"02-0872";1558;"Magdeburg"
"02-0716";"02-0872";1557;"Magdeburg"
"02-0789";"02-0872";1557;"Magdeburg"
"02-0789";"02-0872";1559;"Magdeburg"
"02-0654";"02-0879";1564;"Magdeburg"
"02-0654";"02-0886";1549;"Magdeburg"
"02-0716";"02-0935";1555;"Magdeburg"
"02-0936";"02-0935";1555;"Magdeburg"
"02-0690";"02-0681";1549;"Mainz"
"02-0738";"02-0716";1552;"Mainz"
"02-0934";"02-0716";1555;"Mainz"
"02-0811";"02-0716";1555;"Mainz"
"02-0802";"02-0714";1574;"Mansfeld"
"02-0749";"02-0785";1574;"Mansfeld"
"02-0845";"02-0785";1573;"Mansfeld"
"02-0845";"02-0820";1573;"Mansfeld"
"02-0733";"02-0733";1564;"Mühlhausen/Elsaß"
"02-0840";"02-0733";1564;"Mühlhausen/Elsaß"
"02-0733";"02-0840";1564;"Mühlhausen/Elsaß"
"02-0840";"02-0840";1564;"Mühlhausen/Elsaß"
"02-0716";"02-0852";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0716";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0791";"02-0775";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0838";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0838";1562;"Mühlhausen/Elsaß"
"02-0879";"02-0848";1562;"Mühlhausen/Elsaß"
"02-0755";"02-0848";1562;"Mühlhausen/Elsaß"
"02-0650";"02-0678";1556;"Neubrandenburg"
"02-0650";"02-0681";1556;"Neubrandenburg"
"02-0650";"02-0766";1556;"Neubrandenburg"
"02-0665";"02-0841";1579;"Neustadt a.d. Hardt"
"02-0741";"02-0644";1567;"Nürnberg"
"02-0741";"02-0655";1579;"Nürnberg"
"02-0691";"02-0655";1579;"Nürnberg"
"02-0879";"02-0655";1579;"Nürnberg"
"02-0758";"02-0655";1579;"Nürnberg"
"02-0741";"02-0681";1567;"Nürnberg"
"02-0716";"02-0720";1554;"Nürnberg"
"02-0782";"02-0800";1552;"Nürnberg"
"02-0848";"02-0800";1553;"Nürnberg"
"02-0827";"02-0800";1551;"Nürnberg"
"02-0827";"02-0800";1555;"Nürnberg"
"02-0829";"02-0800";1555;"Nürnberg"
"02-0716";"02-0800";1554;"Nürnberg"
"02-0716";"02-0838";1557;"Nürnberg"
"02-0716";"02-0838";1556;"Nürnberg"
"02-0716";"02-0838";1555;"Nürnberg"
"02-0716";"02-0838";1555;"Nürnberg"
"02-0791";"02-0595";1565;"Oberursel/Taunus"
"02-0716";"02-0879";1572;"Oberursel/Taunus"
"02-0716";"02-0879";1572;"Oberursel/Taunus"
"02-0845";"02-0655";1576;"Oberursel/Taunus"
"02-0716";"02-0655";1573;"Oberursel/Taunus"
"02-0716";"02-0666";1566;"Oberursel/Taunus"
"02-0716";"02-0681";1567;"Oberursel/Taunus"
"02-0876";"02-0681";1557;"Oberursel/Taunus"
"02-0876";"02-0681";1558;"Oberursel/Taunus"
"02-0876";"02-0681";1555;"Oberursel/Taunus"
"02-0757";"02-0733";1565;"Oberursel/Taunus"
"02-0716";"02-0741";1573;"Oberursel/Taunus"
"02-0876";"02-0766";1557;"Oberursel/Taunus"
"02-0716";"02-0767";1568;"Oberursel/Taunus"
"02-0716";"02-0791";1572;"Oberursel/Taunus"
"02-0716";"02-0798";1564;"Oberursel/Taunus"
"02-0876";"02-0817";1555;"Oberursel/Taunus"
"02-0716";"02-0852";1567;"Oberursel/Taunus"
"02-0722";"02-0647";1554;"Regensburg"
"02-0722";"02-0681";1560;"Regensburg"
"02-0876";"02-0681";1558;"Regensburg"
"02-0722";"02-0742";1562;"Regensburg"
"02-0658";"02-0749";1575;"Regensburg"
"02-0722";"02-0775";1562;"Regensburg"
"02-0716";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1554;"Regensburg"
"02-0722";"02-0775";1560;"Regensburg"
"02-0873";"02-0775";1562;"Regensburg"
"02-0722";"02-0775";1568;"Regensburg"
"02-0873";"02-0775";1568;"Regensburg"
"02-0722";"02-0778";1562;"Regensburg"
"02-0722";"02-0782";1562;"Regensburg"
"02-0722";"02-0782";1560;"Regensburg"
"02-0782";"02-0782";1560;"Regensburg"
"02-0722";"02-0782";1560;"Regensburg"
"02-0722";"02-0800";1562;"Regensburg"
"02-0722";"02-0800";1554;"Regensburg"
"02-0722";"02-0848";1561;"Regensburg"
"02-0826";"02-0848";1562;"Regensburg"
"02-0879";"02-0851";1562;"Regensburg"
"02-0716";"02-0851";1562;"Regensburg"
"02-0716";"02-0852";1563;"Regensburg"
"02-0716";"02-0852";1563;"Regensburg"
"02-0716";"02-0862";1563;"Regensburg"
"02-0779";"02-0890";1575;"Regensburg"
"02-0721";"02-0975";1564;"Regensburg"
"02-0483";"02-0800";1554;"Rostock"
"02-0390";"02-0354";1579;"s.l."
"02-0650";"02-0647";1548;"s.l."
"02-0650";"02-0647";1548;"s.l."
"02-0716";"02-0655";1574;"s.l."
"02-0961";"02-0655";1574;"s.l."
"02-0481";"02-0655";1578;"s.l."
"02-0802";"02-0655";1578;"s.l."
"02-0999";"02-0655";1578;"s.l."
"02-0802";"02-0655";1578;"s.l."
"02-0802";"02-0685";1578;"s.l."
"02-0854";"02-0714";1569;"s.l."
"02-0838";"02-0716";1559;"s.l."
"02-0716";"02-0720";1555;"s.l."
"02-0838";"02-0722";1562;"s.l."
"02-0802";"02-0767";1568;"s.l."
"02-0971";"02-0775";1569;"s.l."
"02-0701";"02-0775";1569;"s.l."
"02-0879";"02-0775";1568;"s.l."
"02-0879";"02-0775";1563;"s.l."
"02-0845";"02-0785";1575;"s.l."
"02-0789";"02-0789";1551;"s.l."
"02-0800";"02-0789";1551;"s.l."
"02-0716";"02-0800";1555;"s.l."
"02-0924";"02-0800";1552;"s.l."
"02-0706";"02-0800";1552;"s.l."
"02-0676";"02-0800";1552;"s.l."
"02-0789";"02-0800";1551;"s.l."
"02-0800";"02-0800";1551;"s.l."
"02-0758";"02-0851";1564;"s.l."
"02-0758";"02-0852";1564;"s.l."
"02-0876";"02-0766";1557;"Straßburg"
"02-0814";"02-0811";1557;"Straßburg"
"02-0814";"02-0811";1557;"Straßburg"
"02-0716";"02-0838";1553;"Straßburg"
"02-0511";"02-0838";1555;"Straßburg"
"02-0814";"02-0864";1557;"Straßburg"
"02-0866";"02-0228";1559;"Tübingen"
"02-0780";"02-0276";1578;"Tübingen"
"02-0702";"02-0508";1566;"Tübingen"
"02-0655";"02-0512";1565;"Tübingen"
"02-0655";"02-0573";1564;"Tübingen"
"02-0655";"02-0666";1565;"Tübingen"
"02-0655";"02-0666";1565;"Tübingen"
"02-0673";"02-0678";1564;"Tübingen"
"02-0673";"02-0678";1561;"Tübingen"
"02-0673";"02-0678";1562;"Tübingen"
"02-0933";"02-0678";1561;"Tübingen"
"02-0673";"02-0678";1561;"Tübingen"
"02-0655";"02-0678";1575;"Tübingen"
"02-0702";"02-0711";1568;"Tübingen"
"02-0655";"02-0716";1574;"Tübingen"
"02-0655";"02-0716";1574;"Tübingen"
"02-0655";"02-0716";1574;"Tübingen"
"02-0780";"02-0838";1563;"Tübingen"
"02-0702";"02-0843";1568;"Tübingen"
"02-0655";"02-0848";1561;"Tübingen"
"02-0655";"02-0848";1562;"Tübingen"
"02-0682";"02-0859";1579;"Tübingen"
"02-0800";"02-0859";1579;"Tübingen"
"02-0777";"02-0859";1579;"Tübingen"
"02-0673";"02-0867";1562;"Tübingen"
"02-0838";"02-0511";1556;"Ulm"
"02-0838";"02-0673";1558;"Ulm"
"02-0838";"02-0681";1561;"Ulm"
"02-0838";"02-0716";1555;"Ulm"
"02-0838";"02-0716";1553;"Ulm"
"02-0838";"02-0716";1555;"Ulm"
"02-0838";"02-0716";1554;"Ulm"
"02-0662";"02-0716";1553;"Ulm"
"02-0838";"02-0716";1555;"Ulm"
"02-0838";"02-0721";1553;"Ulm"
"02-0838";"02-0775";1553;"Ulm"
"02-0838";"02-0782";1554;"Ulm"
"02-0838";"02-0800";1558;"Ulm"
"02-0838";"02-0800";1554;"Ulm"
"02-0838";"02-0239";1558;"s.l."
"02-0838";"02-0239";1558;"s.l."
"02-0838";"02-0511";1556;"s.l."
"02-0838";"02-0644";1558;"s.l."
"02-0838";"02-1029";1558;"s.l."
"02-0838";"02-1029";1558;"s.l."
"02-0814";"02-0654";1562;"Weißenfels"
"02-0814";"02-0654";1562;"Weißenfels"
"02-0814";"02-0811";1562;"Weißenfels"
"02-0848";"02-0782";1559;"Wien"
"02-0782";"02-0652";1558;"Wittenberg"
"02-0775";"02-0654";1558;"Wittenberg"
"02-0775";"02-0654";1552;"Wittenberg"
"02-0810";"02-0654";1558;"Wittenberg"
"02-0810";"02-0654";1558;"Wittenberg"
"02-0784";"02-0654";1558;"Wittenberg"
"02-0775";"02-0654";1558;"Wittenberg"
"02-0512";"02-0655";1571;"Wittenberg"
"02-0512";"02-0655";1571;"Wittenberg"
"02-0609";"02-0657";1565;"Wittenberg"
"02-0609";"02-0657";1566;"Wittenberg"
"02-0809";"02-0672";1572;"Wittenberg"
"02-0782";"02-0672";1572;"Wittenberg"
"02-0809";"02-0685";1572;"Wittenberg"
"02-0782";"02-0685";1572;"Wittenberg"
"02-0775";"02-0701";1569;"Wittenberg"
"02-0784";"02-0716";1557;"Wittenberg"
"02-0789";"02-0716";1570;"Wittenberg"
"02-0784";"02-0716";1557;"Wittenberg"
"02-0782";"02-0716";1558;"Wittenberg"
"02-0585";"02-0716";1558;"Wittenberg"
"02-0775";"02-0716";1550;"Wittenberg"
"02-0784";"02-0716";1557;"Wittenberg"
"02-0784";"02-0716";1557;"Wittenberg"
"02-0782";"02-0716";1557;"Wittenberg"
"02-0782";"02-0716";1549;"Wittenberg"
"02-0782";"02-0716";1549;"Wittenberg"
"02-0782";"02-0716";1549;"Wittenberg"
"02-0782";"02-0716";1560;"Wittenberg"
"02-0879";"02-0716";1558;"Wittenberg"
"02-0782";"02-0716";1558;"Wittenberg"
"02-0784";"02-0716";1558;"Wittenberg"
"02-0784";"02-0716";1558;"Wittenberg"
"02-0609";"02-0716";1558;"Wittenberg"
"02-0810";"02-0716";1559;"Wittenberg"
"02-0789";"02-0716";1570;"Wittenberg"
"02-0696";"02-0716";1571;"Wittenberg"
"02-0775";"02-0716";1567;"Wittenberg"
"02-0809";"02-0718";1572;"Wittenberg"
"02-0782";"02-0718";1572;"Wittenberg"
"02-0695";"02-0741";1571;"Wittenberg"
"02-0353";"02-0769";1557;"Wittenberg"
"02-0879";"02-0773";1579;"Wittenberg"
"02-0879";"02-0784";1558;"Wittenberg"
"02-0695";"02-0789";1570;"Wittenberg"
"02-0820";"02-0793";1564;"Wittenberg"
"02-0820";"02-0793";1563;"Wittenberg"
"02-0820";"02-0793";1562;"Wittenberg"
"02-0820";"02-0793";1563;"Wittenberg"
"02-0820";"02-0793";1563;"Wittenberg"
"02-0782";"02-0800";1552;"Wittenberg"
"02-0769";"02-0800";1552;"Wittenberg"
"02-0716";"02-0800";1553;"Wittenberg"
"02-0782";"02-0800";1556;"Wittenberg"
"02-0782";"02-0800";1558;"Wittenberg"
"02-0353";"02-0800";1557;"Wittenberg"
"02-0782";"02-0800";1550;"Wittenberg"
"02-1029";"02-0800";1552;"Wittenberg"
"02-0716";"02-0800";1552;"Wittenberg"
"02-0769";"02-0800";1552;"Wittenberg"
"02-0769";"02-0800";1552;"Wittenberg"
"02-0760";"02-0800";1552;"Wittenberg"
"02-0814";"02-0800";1552;"Wittenberg"
"02-0782";"02-0800";1552;"Wittenberg"
"02-0741";"02-0800";1553;"Wittenberg"
"02-0782";"02-0800";1553;"Wittenberg"
"02-0782";"02-0800";1553;"Wittenberg"
"02-0716";"02-0800";1552;"Wittenberg"
"02-0782";"02-0800";1559;"Wittenberg"
"02-0653";"02-0800";1552;"Wittenberg"
"02-0820";"02-0800";1558;"Wittenberg"
"02-0782";"02-0800";1556;"Wittenberg"
"02-0829";"02-0800";1555;"Wittenberg"
"02-0782";"02-0800";1555;"Wittenberg"
"02-0791";"02-0800";1555;"Wittenberg"
"02-0673";"02-0800";1553;"Wittenberg"
"02-0353";"02-0816";1557;"Wittenberg"
"02-0414";"02-0838";1556;"Wittenberg"
"02-0782";"02-0838";1556;"Wittenberg"
"02-0782";"02-0838";1558;"Wittenberg"
"02-0353";"02-0838";1557;"Wittenberg"
"02-0585";"02-0838";1558;"Wittenberg"
"02-0782";"02-0838";1560;"Wittenberg"
"02-0782";"02-0838";1559;"Wittenberg"
"02-0782";"02-0838";1556;"Wittenberg"
"02-0726";"02-0838";1560;"Wittenberg"
"02-0828";"02-0841";1571;"Wittenberg"
"02-0828";"02-0841";1571;"Wittenberg"
"02-0809";"02-0841";1572;"Wittenberg"
"02-0782";"02-0841";1572;"Wittenberg"
"02-0739";"02-0847";1555;"Wittenberg"
"02-0782";"02-0847";1560;"Wittenberg"
"02-0775";"02-0848";1567;"Wittenberg"
"02-0782";"02-0848";1558;"Wittenberg"
"02-0782";"02-0848";1558;"Wittenberg"
"02-0782";"02-0868";1558;"Wittenberg"
"02-0695";"02-0879";1571;"Wittenberg"
"02-0879";"02-0879";1558;"Wittenberg"
"02-0809";"02-0889";1572;"Wittenberg"
"02-0782";"02-0889";1572;"Wittenberg"
"02-0353";"02-0890";1557;"Wittenberg"
"02-0775";"02-0971";1569;"Wittenberg"
"02-0758";"02-0347";1579;"Wolfenbüttel"
"02-0758";"02-0644";1575;"Wolfenbüttel"
"02-0841";"02-0666";1573;"Wolfenbüttel"
"02-0841";"02-0666";1572;"Wolfenbüttel"
"02-0841";"02-0666";1571;"Wolfenbüttel"
"02-0841";"02-0828";1571;"Wolfenbüttel"
"02-0841";"02-0828";1571;"Wolfenbüttel"
"02-0841";"02-0828";1572;"Wolfenbüttel"
"02-0782";"02-0838";1557;"Worms"
"02-0678";"02-0655";1575;"Zürich"
"02-0842";"02-0655";1576;"Zürich"
"02-0770";"02-0655";1576;"Zürich"
"02-0678";"02-0655";1575;"Zürich"
"02-0678";"02-0673";1562;"Zürich"
"02-0678";"02-0673";1561;"Zürich"
"02-0678";"02-0673";1571;"Zürich"
"02-0678";"02-0847";1561;"Zürich"
"02-0797";"02-0876";1556;"Zürich"
"02-0681";"02-0876";1555;"Zürich"
